number,name,status
229,PEP 229 – Using Distutils to Build Python,
228,PEP 228 – Reworking Python’s Numeric Model,
231,PEP 231 – __findattr__(),
227,PEP 227 – Statically Nested Scopes,
226,PEP 226 – Python 2.1 Release Schedule,
230,PEP 230 – Warning Framework,
224,PEP 224 – Attribute Docstrings,
222,PEP 222 – Web Library Enhancements,
223,PEP 223 – Change the Meaning of ,
221,PEP 221 – Import As,
220,"PEP 220 – Coroutines, Generators, Continuations",
215,PEP 215 – String Interpolation,
217,PEP 217 – Display Hook for Interactive Use,
225,PEP 225 – Elementwise/Objectwise Operators,
216,PEP 216 – Docstring Format,
218,PEP 218 – Adding a Built-In Set Object Type,
219,PEP 219 – Stackless Python,
210,PEP 210 – Decoupling the Interpreter Loop,
212,PEP 212 – Loop Counter Iteration,
213,PEP 213 – Attribute Access Handlers,
211,PEP 211 – Adding A New Outer Product Operator,
20,PEP 20 – The Zen of Python,
11,PEP 11 – CPython platform support,
13,PEP 13 – Python Language Governance,
214,PEP 214 – Extended Print Statement,
12,PEP 12 – Sample reStructuredText PEP Template,
209,PEP 209 – Multi-dimensional Arrays,
10,PEP 10 – Voting Guidelines,
9,PEP 9 – Sample Plaintext PEP Template,
5,PEP 5 – Guidelines for Language Evolution,
2,PEP 2 – Procedure for Adding New Modules,
3,PEP 3 – Guidelines for Handling Bug Reports,
6,PEP 6 – Bug Fix Releases,
8,PEP 8 – Style Guide for Python Code,
4,PEP 4 – Deprecation of Standard Modules,
7,PEP 7 – Style Guide for C Code,
